name,team,position,bye,projectedPoints,adp,adpStdev,sleeperId,tier,ballersRank,risk,upside
Jake Tonges,SF,TE,8,42.8,253,,8698,7,302,4,2.5
Jacoby Brissett,ARI,QB,14,239.2,256,,3257,8,173,4.7,6
Darnell Mooney,NYG,WR,8,63.8,259,,7090,11,232,4.8,3.8
Tory Horton,SEA,WR,11,73.5,260,,12497,11,213,5.1,4
Tua Tagovailoa,ATL,QB,11,216.4,260,,6768,8,187,5.5,4.3
Colby Parkinson,LAR,TE,11,87.4,262,,6865,7,197,4.1,4.8
Geno Smith,NYJ,QB,13,273.6,262,,1373,7,148,4.9,3.9
Theo Johnson,NYG,TE,8,58.5,263,,11597,7,249,4.2,4.8
Troy Franklin,DEN,WR,10,70,264,,11627,11,220,4,3.7
Van Jefferson,WAS,WR,7,37.9,264,,6853,11,303,4,2
Emanuel Wilson,SEA,RB,11,43.6,266,,11435,10,270,4.9,3.2
Kendrick Law,DET,WR,6,14,439.5,,13412,11,312,7.5,2.2
Carson Beck,ARI,QB,14,87.8,475,,13272,8,299,8.5,5.8
Kirk Cousins,LV,QB,13,141.9,494,,1166,8,259,8.1,4.8
Malik Benson,LV,WR,13,51.5,544,,13329,11,253,5.5,3.5
Deshaun Watson,CLE,QB,11,60.1,556,,4017,8,267,6.3,4.3
Bryce Lance,NO,WR,8,51.3,571,,13420,11,309,8,6
Kaleb Johnson,GB,RB,11,47.6,595,,12504,10,261,4.7,2.9
Tommy Tremble,CAR,TE,5,47.8,597,,7694,7,295,3,3
Michael Penix Jr.,ATL,QB,11,108.2,604,,11559,8,260,5.3,4.7
Adam Randall,BAL,RB,13,28.6,617,,13302,10,297,4.7,3.8
Jalen Tolbert,MIA,WR,6,73.1,617,,8117,11,211,4.4,3.1
Samaje Perine,CIN,RB,6,68.7,630,,4147,10,226,4.1,3.1
Jerome Ford,WAS,RB,7,47.7,637,,8143,10,257,4.8,2.3
Noah Fant,NO,TE,8,33.5,642,,5857,7,293,4.8,3.3
Kalif Raymond,CHI,WR,10,49.3,645,,3634,11,255,4.7,3.3
Jordan Whittington,LAR,WR,11,45.6,648,,11623,11,263,4.7,3.3
Devontez Walker,BAL,WR,13,38.4,650,,11629,11,281,4.3,3
Najee Harris,NYG,RB,8,86.4,657,,7528,10,188,5.7,2.7
Chimere Dike,TEN,WR,9,60.7,658,,12540,11,234,5.1,3.7
Devin Singletary,NYG,RB,8,39.9,660,,6130,10,278,4.9,2.9
Mike Gesicki,CIN,TE,6,81.9,660,,4993,7,205,3.6,5.6
Charlie Kolar,LAC,TE,7,66,661,,8127,7,233,4.3,2.7
Brenen Thompson,LAC,WR,7,43,663,,13380,11,269,5.6,3.8
Jaylin Noel,HOU,WR,8,73.5,664,,12536,11,209,4.2,3.5
Ollie Gordon II,MIA,RB,6,34.4,666,,12495,10,289,5.1,2.9
Darius Slayton,NYG,WR,8,76.3,668,,6149,11,202,4.9,3.9
Elijah Arroyo,SEA,TE,11,46.2,668,,12521,7,272,4.5,4.4
Mason Taylor,NYJ,TE,13,64.9,668,,12498,7,236,4.1,3.6
Ty Johnson,BUF,RB,7,64.8,668,,6039,10,231,3.5,3.8
Brashard Smith,KC,RB,5,45.8,669,,12455,10,265,4.8,3
Ben Sinnott,WAS,TE,7,39.6,672,,11596,7,288,8,5.9
Kendrick Bourne,ARI,WR,14,51.2,673,,4454,11,251,3.7,2.7
Nate Boerkircher,JAX,TE,7,19.1,674,,13299,7,311,1,1
Tez Johnson,TB,WR,10,64.2,674,,12485,11,230,4.6,3.6
Darnell Washington,PIT,TE,9,45.5,675,,9479,7,273,4.6,3.1
Dont'e Thornton Jr.,LV,WR,13,43.6,677,,12541,11,268,5.6,3.5
Jack Bech,LV,WR,13,70.6,677,,12483,11,218,4.6,5.2
Oscar Delp,NO,TE,8,10.2,678,,13319,7,313,6.9,3.8
Emari Demercado,KC,RB,5,38.4,679,,11199,10,286,5.3,2
Treylon Burks,WAS,WR,7,47.4,679,,8135,11,262,5.7,3.6
Xavier Hutchinson,HOU,WR,8,74.3,679,,10218,11,256,3.5,2
Darren Waller,CAR,TE,5,84.1,680,,2505,7,201,5,3.8
Devaughn Vele,NO,WR,8,73.7,680,,11834,11,206,4.8,4.3
Cole Kmet,CHI,TE,10,79.9,683,,6826,7,212,3.5,3.7
Noah Gray,KC,TE,5,48.6,683,,7828,7,266,4.3,2.3
Dawson Knox,BUF,TE,7,65,684,,5906,7,235,2.5,2.8
Justin Joly,DEN,TE,10,12.4,684,,13400,7,310,4.5,1
Kyle Williams,NE,WR,11,90.5,684,,12547,11,180,5,5.7
Marquise Brown,PHI,WR,10,34.4,685,,5848,11,290,5.1,3.7
Devin Neal,NO,RB,8,30.5,686,,12476,10,296,5.7,1
Jahan Dotson,ATL,WR,11,57.6,686,,8119,11,238,3.5,2.5
Malik Davis,DAL,RB,14,79.6,686,,8800,10,198,5.3,2.8
Will Shipley,PHI,RB,10,28.7,686,,11577,10,298,4.6,2
Luke Musgrave,GB,TE,11,59.4,687,,9481,7,246,4.7,3.8
Tahj Brooks,CIN,RB,6,24.2,687,,12543,10,304,4.2,3.6
Xavier Legette,CAR,WR,5,40.8,687,,11626,11,274,4.7,4.2
AJ Dillon,CAR,RB,5,29.1,688,,6828,10,307,3.3,2
Roman Wilson,PIT,WR,9,49.7,688,,11630,11,254,5.1,2.7
Chris Brazzell II,CAR,WR,5,30,689,,13353,11,294,7,2.8
LeQuint Allen Jr.,JAX,RB,7,59.6,690,,12544,10,239,4.9,3.2
Trevor Etienne,CAR,RB,5,36.7,690,,12531,10,287,4.3,3.8
Jaylin Lane,WAS,WR,7,36.6,691,,12641,11,305,4,3
Skyler Bell,BUF,WR,7,38.8,691,,13402,11,300,3.5,3
Tutu Atwell,LAR,WR,11,38.1,691,,7562,11,283,5,2.9
Audric Estime,NO,RB,8,4.7,693,,11579,10,314,1,1
Christian Kirk,SF,WR,8,54.5,693,,4950,11,245,5.8,3.9
DJ Giddens,IND,RB,13,55.8,694,,12471,10,247,5.1,3.8
Ja'Tavion Sanders,CAR,TE,5,56.1,694,,11600,7,250,4,3.9
Max Klare,LAR,TE,11,44.3,694,,13278,7,276,5.4,4.6
Chris Brooks,GB,RB,11,79.5,695,,11370,10,199,4.3,4
Isaiah Davis,NYJ,RB,13,54.3,695,,11571,10,248,5.2,3.3
Elijah Sarratt,BAL,WR,13,40.6,696,,13268,11,275,4.5,4.3
Michael Mayer,LV,TE,13,63.5,696,,9482,7,241,4.8,2.5
DeMario Douglas,NE,WR,11,95.6,697,,9501,11,166,4.8,4.1
Mack Hollins,NE,WR,11,46.2,697,,4177,11,264,5.3,3.4
Calvin Austin III,NYG,WR,8,40,698,,8125,11,301,4,2
Cedric Tillman,CLE,WR,11,32.9,698,,10444,11,291,4.5,3.6
Olamide Zaccheaus,ATL,WR,11,47.4,698,,6271,11,292,2.5,2.5
Zavion Thomas,CHI,WR,10,27.4,698,,13411,11,306,6.3,4.3
Elic Ayomanor,TEN,WR,9,66.4,699,,12499,11,229,4.7,4.1
Tyquan Thornton,KC,WR,5,67.9,699,,8188,11,224,5.8,3.7
Evan Engram,DEN,TE,10,73.1,700,,4066,7,227,4.7,2.8
George Holani,SEA,RB,11,58.6,700,,12048,10,284,4.5,2
Andrei Iosivas,CIN,WR,6,67.3,701,,10226,11,223,3.7,3.9
Marvin Mims Jr.,DEN,WR,10,48.5,701,,9494,11,258,4.7,2.3
Rashod Bateman,BAL,WR,13,74.1,701,,7571,11,208,5.2,3.8
Brandon Aubrey,DAL,K,14,155,128,,,,,,
Jason Myers,SEA,K,11,152,136,,,,,,
Ka'imi Fairbairn,HOU,K,8,151,136,,,,,,
Cameron Dicker,LAC,K,7,149,142,,,,,,
Jake Bates,DET,K,6,147,146,,,,,,
Harrison Mevis,LAR,K,11,145,148,,,,,,
Cam Little,JAX,K,7,143,153,,,,,,
Joey Slye,TEN,K,9,142,153,,,,,,
Chase McLaughlin,TB,K,10,140,154,,,,,,
Tyler Loop,BAL,K,13,139,155,,,,,,
Chris Boswell,PIT,K,9,137,157,,,,,,
Tyler Bass,BUF,K,7,136,161,,,,,,
Wil Lutz,DEN,K,10,134,161,,,,,,
Will Reichard,MIN,K,6,133,162,,,,,,
Harrison Butker,KC,K,5,131,162,,,,,,
Trey Smack,GB,K,11,130,164,,,,,,
Eddy Pineiro,SF,K,8,128,164,,,,,,
Evan McPherson,CIN,K,6,127,167,,,,,,
Andy Borregales,NE,K,11,125,169,,,,,,
Cairo Santos,CHI,K,10,124,171,,,,,,
Jake Elliott,PHI,K,10,122,173,,,,,,
Nick Folk,ATL,K,11,121,183,,,,,,
Dominic Zvada,NYG,K,8,119,183,,,,,,
Drew Stevens,WAS,K,7,118,186,,,,,,
Ryan Fitzgerald,CAR,K,5,116,189,,,,,,
Daniel Carlson,NO,K,8,115,192,,,,,,
Riley Patterson,MIA,K,6,113,195,,,,,,
Jason Sanders,NYJ,K,13,112,198,,,,,,
Andre Szmyt,CLE,K,11,110,201,,,,,,
Spencer Shrader,IND,K,13,109,204,,,,,,
Matt Gay,LV,K,13,107,207,,,,,,
Chad Ryland,ARI,K,14,106,210,,,,,,

